video_id	post_date	caption
7628341168925068574	2026-04-13	When one splits themselves they can be devoured  This is one way to be reborn - El Roy #jagwartwin #bananas  created by Jagwar Twin with Jagwar Twin & sir lucius’s bananas
7627188100678176030	2026-04-10	“bananas” official visualizer out now #jagwartwin #bananas  created by Jagwar Twin with Jagwar Twin & sir lucius’s bananas - clean
7626844990173351199	2026-04-09	Did you like the show? #jagwartwin #welcometothecircus  created by Jagwar Twin with Jagwar Twin & sir lucius’s welcome to the circus
7626479946768092446	2026-04-08	“The house of the soul is built by thought.” - Rudolf Steiner #jagwartwin #weirdness  created by Jagwar Twin with Jagwar Twin & sir lucius’s weirdness
7626083554379795743	2026-04-07	I’m the No. 1 champion in this town #jagwartwin #newmusic  created by Jagwar Twin with Jagwar Twin & sir lucius’s #1 champion (la conquistadora)
7625760421235969311	2026-04-06	What you’re afraid to let go of will posses you - El Roy #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7624596806659362079	2026-04-03	“The center is everywhere.” - Hermes Trismegistus #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7624249827538373918	2026-04-02	Nowhere is not a destination but you can arrive in an instant- Roy #jagwartwin #bananas  created by Jagwar Twin with Jagwar Twin & sir lucius’s bananas - clean
7623858702218464543	2026-04-01	“Be ye therefore wise as serpents, and harmless as doves.” — Bible, Matthew 10:16 #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7623178950939774238	2026-03-30	Your weirdness is the ☀️ #jagwartwin #weirdness #newmusic  created by Jagwar Twin with Jagwar Twin & sir lucius’s weirdness
7623156905401175327	2026-03-30	You should know by now…  #jagwartwin #1champion  created by Jagwar Twin with Jagwar Twin’s original sound
7623148875007675678	2026-03-30	let’s tear the roof off of my house #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7622366652318944542	2026-03-28	“There are no ordinary people. You have never talked to a mere mortal… all friendships, all loves, all play, all politics.”  - C.S. Lewis #jagwartwin #bounce #sirlucius  created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7622045120879152415	2026-03-27	lucius lullaby out now #jagwartwin #weirdness  created by Jagwar Twin with Jagwar Twin’s original sound
7621782299134217502	2026-03-27	“lucius lullaby” is out everywhere. It can’t be stopped #jagwartwin #sirlucius #luciuslullaby  created by Jagwar Twin with Jagwar Twin’s original sound
7621680995921579295	2026-03-26	STOP SIR LUCIUS #jagwartwin #luciuslullaby  created by Jagwar Twin with Jagwar Twin’s original sound
7621609365438549279	2026-03-26	“Shall a trumpet be blown in the city, and the people not be afraid?” - Amos 3:6 “lucius lullaby” out tonight at midnight  created by Jagwar Twin with Jagwar Twin’s original sound
7621341317238492447	2026-03-25	Do you hear lucius’ lullaby? #jagwartwin #luciuslullaby #sirlucius #stopsirlucius  created by Jagwar Twin with Jagwar Twin’s original sound
7620897813693500702	2026-03-24	“Everything is illusion (Maya) outside of eternal truth.” - H. P. Blavatsky  #jagwartwin #welcometothecircus created by Jagwar Twin with Jagwar Twin & sir lucius’s welcome to the circus
7620603147878255903	2026-03-23	You gotta serve somebody #jagwartwin #luciuslullaby #sirlucius  created by Jagwar Twin with Jagwar Twin’s original sound
7620525146977160478	2026-03-23	sir lucius makes a surprise appearance during the “lucius lullaby” album premiere He leaves the music industry with one line.. Full video on YT  created by Jagwar Twin with Jagwar Twin’s original sound
7620498380451613983	2026-03-23	Time to go bananas “lucius lullaby” out this Friday #jagwartwin #bananas  created by Jagwar Twin with Jagwar Twin’s original sound
7620137465084415263	2026-03-22	“The world is illusion, but illusion is not nothing. It is a revelation.” - Rudolf Steiner #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7619450772618611998	2026-03-20	“The universe is a mirror reflecting the image of the one who looks into it.” - Manly P. Hall  “lucius lullaby” out 3/27 created by Jagwar Twin with Jagwar Twin’s original sound
7619380073170226462	2026-03-20	3/27 created by Jagwar Twin with Jagwar Twin’s original sound
7619051295357390111	2026-03-19	“A person who has not developed the will to conquer his own lower nature cannot become truly free.” - Rudolf Steiner #jagwartwin  created by Jagwar Twin with Jagwar Twin’s original sound
7618671501788663070	2026-03-18	“Clear your mind must be, if you are to discover the real villains behind this plot.” - Yoda #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7618342403501559070	2026-03-17	“In all chaos there is a cosmos, in all disorder a secret order.” - Carl Jung #jagwartwin #bananas #newmusic  created by Jagwar Twin with Jagwar Twin’s original sound
7617928916249922847	2026-03-16	When the old order breaks the new world begins #jagwartwin #bananas  created by Jagwar Twin with Jagwar Twin’s original sound
7617155303766822174	2026-03-14	bounce with me #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7616802254011632927	2026-03-13	lucius lullaby is coming  created by Jagwar Twin with Jagwar Twin’s original sound
7616485516061510943	2026-03-12	Genesis 3  created by Jagwar Twin with Jagwar Twin’s original sound
7616418519931964702	2026-03-12	There’s a Japanese proverb that says “The nail that sticks out gets hammered down.” Thats why I became a hammer #jagwartwin #weirdness  created by Jagwar Twin with Jagwar Twin’s original sound
7616134226487938335	2026-03-11	“An anarchist… or perhaps a constitutional monarchist.” - Tolkien  created by Jagwar Twin with Jagwar Twin’s original sound
7616069034265546014	2026-03-11	“Why fit in when you were born to stand out.” - Dr. Seuss #jagwartwin #weirdness  created by Jagwar Twin with Jagwar Twin’s original sound
7615699636866649375	2026-03-10	“I would arrest anybody who uses the word ‘State’… and after a chance of recantation, execute them if they persist.” - Tolkien  #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7614234343875087646	2026-03-06	Life is short  #jagwartwin #bounce  @LeifMansonOfficial  created by Jagwar Twin with Chihei Hatakeyama’s Freeze III
